Position;Track Name;Artist;Streams;URL
1;Medicina;Anitta;576738;https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
2;Ao Vivo E A Cores;Matheus & Kauan;471214;https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
3;Largado Às Traças - Ao Vivo;Zé Neto & Cristiano;411785;https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
4;Propaganda - Ao Vivo;Jorge & Mateus;402483;https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
5;In My Feelings;Drake;349405;https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
6;Jogo do Amor;MC Bruninho;349039;https://open.spotify.com/track/3MxbRHE1u74SoMNR9iURIZ
7;Status Que Eu Não Queria - Ao Vivo;Zé Neto & Cristiano;347349;https://open.spotify.com/track/1fyhyOy6iS9E2NckAzjmTo
8;Meu Abrigo;Melim;325114;https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
9;O Sol;Vitor Kley;323319;https://open.spotify.com/track/3IfctMaf2sfvlSLRa42Cna
10;Romance Com Safadeza;Wesley Safadão;323314;https://open.spotify.com/track/0RBOFW5424gCCCZrgECbt6
11;Amor de Verdade;MC Kekel;321997;https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
12;Amor Falso;Aldair Playboy;311127;https://open.spotify.com/track/00zzSEe82JTtz68XlARnh7
13;A Culpa É Dele - Ao Vivo | Acústico;Marília Mendonça;296433;https://open.spotify.com/track/6yxYagNp6Gapd7jXmWzgVc
14;Din Din Din (Participação especial de MC Pupio e MC Doguinha);Ludmilla;282249;https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
15;Fuleragem;MC WM;273435;https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
16;Amor Da Sua Cama;Felipe Araújo;256621;https://open.spotify.com/track/5rq31V6YJVklhB7HxXn9I8
17;Anti-Amor - Ao Vivo;Gustavo Mioto;255898;https://open.spotify.com/track/7JdZZfozlODQ08ATf8xIZ6
18;O Alvo - Ao Vivo;Diego & Victor Hugo;250049;https://open.spotify.com/track/5Vw6ZLNB6Ko7VZM6vmNIbr
19;Só Quer Vrau;MC MM;235766;https://open.spotify.com/track/68uKHxQzoY6gd7YSKJf21J
20;Ta Tum Tum;MC Kevinho;234548;https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
21;Coladinha em Mim - Ao Vivo;Gustavo Mioto;227772;https://open.spotify.com/track/4JPSfCXQe6kDliMIJTqISW
22;God is a woman;Ariana Grande;227662;https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
23;Tô Com Moral No Céu! - Ao Vivo;Matheus & Kauan;221767;https://open.spotify.com/track/0uwaiApk6k7k9POyFjTKeR
24;Novinha Você É uma Flor;MCs Thin e Alexandre;217684;https://open.spotify.com/track/4kiauw5SBqEsu5GuGD09aM
25;Pouca Pausa;Clau;215604;https://open.spotify.com/track/2odzriVVZBwYOiYJEj30tm
26;Apelido Carinhoso;Gusttavo Lima;215081;https://open.spotify.com/track/6wXYGqXCLtEHx4VDb2TPcM
27;Trincadinho - Ao Vivo;Jorge & Mateus;213377;https://open.spotify.com/track/5qjMyKkmosPBws5cImS9Zz
28;Me Solta;Nego do Borel;212795;https://open.spotify.com/track/5nqehpNGoRAz4wUFK3wT9k
29;Mundo de Ilusões - Ao Vivo;Gusttavo Lima;210986;https://open.spotify.com/track/3UxbT06Mz8aTJbHYYIxwkI
30;Notificação Preferida - Ao Vivo;Zé Neto & Cristiano;203210;https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz
31;Mulher Maravilha - Ao Vivo;Zé Neto & Cristiano;203013;https://open.spotify.com/track/2cbMXc0P5s271VwZOUk1Gb
32;Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo;Atitude 67;198653;https://open.spotify.com/track/2PADJK4rhdklqFLQFa5oMX
33;Indecente;Anitta;198240;https://open.spotify.com/track/5FOCkGt7bp22nBVfQ4WSIT
34;Beijo Com Trap;Hungria Hip Hop;194104;https://open.spotify.com/track/37LmF3FHmdMQErxJJUQaSd
35;Bom Rapaz - Ao Vivo;Fernando & Sorocaba;192108;https://open.spotify.com/track/5Zha6IxtfsLjqLYndyWcER
36;Ocean;Alok;189222;https://open.spotify.com/track/4nraNqonMyfc0U3o8VeXVu
37;Deixa - Feat. Ana Gabriela;Lagum;182393;https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
38;Pirata e tesouro - Ao vivo;Ferrugem;174551;https://open.spotify.com/track/3Cabw7y9EoR68v7dBS76HQ
39;Papum;MC Kevinho;173375;https://open.spotify.com/track/5tNnnptCfuLXLHnDqrL9ku
40;Vai malandra (feat. Tropkillaz & DJ Yuri Martins);Anitta;166108;https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
