--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS DO JORDAO - SP (OMM: 83714)
Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Altitude  (metros): 1642.00
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/1950 a 01/08/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83714;01/01/1961;0000;;20.2;;0;;17.12;94.75;3;
83714;01/01/1961;1200;;;14.8;;;;;;
83714;02/01/1961;0000;;20.3;;0;0.2;16.74;99.5;3.666667;
83714;02/01/1961;1200;16.3;;15;;;;;;
83714;03/01/1961;0000;;23.8;;0;0.2;18.96;92.25;2.333333;
83714;03/01/1961;1200;27.9;;14.8;;;;;;
83714;04/01/1961;0000;;23.5;;0;1.6;17.24;93.5;2.333333;
83714;04/01/1961;1200;0;;13.2;;;;;;
83714;05/01/1961;0000;;21.2;;0;1;16.78;94.25;2.333333;
83714;05/01/1961;1200;27.8;;12.4;;;;;;
83714;06/01/1961;0000;;20.5;;0;0.9;17.5;96;2.333333;
83714;06/01/1961;1200;6.4;;15.5;;;;;;
83714;07/01/1961;0000;;22.5;;1.1;0.2;17.68;94.5;2.333333;
83714;07/01/1961;1200;17.6;;14.6;;;;;;
83714;08/01/1961;0000;;21.6;;0.1;1;18.04;94.75;3;
83714;08/01/1961;1200;2.5;;14.6;;;;;;
83714;09/01/1961;0000;;24.3;;1.9;0.9;18.7;92.75;3.666667;
83714;09/01/1961;1200;0;;15.7;;;;;;
83714;10/01/1961;0000;;25;;8.7;0.9;18.94;91.75;2.333333;
83714;10/01/1961;1200;11.1;;15.2;;;;;;
83714;11/01/1961;0000;;23.5;;5.3;1.7;17.54;83.75;2.333333;
83714;11/01/1961;1200;6;;10.7;;;;;;
83714;12/01/1961;0000;;22.7;;4.7;2.7;17.82;88;4.333333;
83714;12/01/1961;1200;0;;13.1;;;;;;
83714;13/01/1961;0000;;23.6;;3;0.7;16.86;93.75;3;
83714;13/01/1961;1200;17.1;;11.5;;;;;;
83714;14/01/1961;0000;;21.9;;3.7;1;16.9;93.75;3;
83714;14/01/1961;1200;25.4;;14;;;;;;
83714;15/01/1961;0000;;19.1;;3.9;0.6;15.96;95;2.333333;
83714;15/01/1961;1200;13.7;;12.1;;;;;;
83714;16/01/1961;0000;;23.4;;6.7;0.4;16.94;91.75;1.666667;
83714;16/01/1961;1200;33.6;;11.3;;;;;;
83714;17/01/1961;0000;;23.1;;8.5;1;17.46;91;2.333333;
83714;17/01/1961;1200;15.5;;13.6;;;;;;
83714;18/01/1961;0000;;24.2;;6.1;2.9;18.3;86.75;1.666667;
83714;18/01/1961;1200;0;;11.7;;;;;;
83714;19/01/1961;0000;;21.9;;0;2.1;17.82;95;1.666667;
83714;19/01/1961;1200;0.5;;13;;;;;;
83714;20/01/1961;0000;;22.9;;6.5;1.2;17.98;88.75;2.333333;
83714;20/01/1961;1200;1.5;;14.2;;;;;;
83714;21/01/1961;0000;;21;;4.1;1.1;16.98;93.5;2.333333;
83714;21/01/1961;1200;33.1;;13.4;;;;;;
83714;22/01/1961;0000;;23.2;;3.1;0.8;17.96;91.25;2.333333;
83714;22/01/1961;1200;6.3;;15.2;;;;;;
83714;23/01/1961;0000;;18.7;;0;0.5;16.64;98;1;
83714;23/01/1961;1200;79.7;;14.8;;;;;;
83714;24/01/1961;0000;;24.2;;4.6;0.4;18.28;87.5;3;
83714;24/01/1961;1200;8.4;;12.6;;;;;;
83714;25/01/1961;0000;;22.5;;0;1.2;17.9;97.25;3;
83714;25/01/1961;1200;6.8;;15.2;;;;;;
