# ----------------------------------------
# 1 Master View
# Audience Overview
# 20170101-20180228
# ----------------------------------------

Day Index,Date Range,Segment,Sessions,Avg. Session Duration
1/1/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,528",00:02:34
1/1/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,102,00:10:44
1/2/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,822",00:02:36
1/2/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,147,00:08:14
1/3/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,894",00:02:53
1/3/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,366,00:07:06
1/4/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,755",00:03:22
1/4/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,275,00:08:09
1/5/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,488",00:03:05
1/5/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,254,00:09:34
1/6/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,458",00:02:34
1/6/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,226,00:06:47
1/7/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,750",00:02:06
1/7/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,93,00:07:08
1/8/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,811",00:02:30
1/8/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,110,00:08:25
1/9/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,630",00:02:55
1/9/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,307,00:06:33
1/10/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,536",00:03:01
1/10/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,244,00:07:28
1/11/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,467",00:02:35
1/11/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,217,00:06:50
1/12/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,418",00:02:40
1/12/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,219,00:06:07
1/13/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,237",00:02:55
1/13/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,247,00:06:48
1/14/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,653",00:02:14
1/14/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,81,00:08:39
1/15/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,733",00:02:27
1/15/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,99,00:07:23
1/16/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,099",00:02:40
1/16/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,183,00:06:35
1/17/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,795",00:02:54
1/17/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,404,00:06:35
1/18/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,536",00:03:00
1/18/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,308,00:07:03
1/19/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,322",00:02:40
1/19/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,239,00:07:03
1/20/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,296",00:02:49
1/20/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,203,00:07:30
1/21/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,832",00:02:39
1/21/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,91,00:08:09
1/22/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,873",00:02:36
1/22/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,138,00:08:13
1/23/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,535",00:02:53
1/23/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,278,00:06:19
1/24/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"3,900",00:02:10
1/24/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,227,00:07:07
1/25/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"3,245",00:02:27
1/25/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,215,00:06:39
1/26/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,450",00:02:54
1/26/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,211,00:07:24
1/27/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,201",00:03:01
1/27/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,185,00:08:42
1/28/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,787",00:02:23
1/28/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,82,00:06:21
1/29/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,971",00:02:48
1/29/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,111,00:08:53
1/30/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,698",00:02:56
1/30/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,285,00:07:30
1/31/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,461",00:02:51
1/31/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,248,00:07:29
2/1/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,684",00:02:45
2/1/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,218,00:08:25
2/2/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,598",00:02:47
2/2/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,204,00:07:18
2/3/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,410",00:02:54
2/3/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,202,00:08:39
2/4/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,697",00:02:29
2/4/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,113,00:07:33
2/5/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,661",00:02:42
2/5/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,99,00:08:09
2/6/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,565",00:02:50
2/6/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,257,00:06:51
2/7/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,726",00:03:02
2/7/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,199,00:09:41
2/8/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,798",00:02:32
2/8/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,197,00:08:04
2/9/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,903",00:02:34
2/9/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,200,00:07:54
2/10/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,404",00:02:40
2/10/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,183,00:08:36
2/11/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,905",00:02:43
2/11/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,99,00:12:07
2/12/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,933",00:02:37
2/12/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,133,00:07:52
2/13/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,489",00:02:43
2/13/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,222,00:08:39
2/14/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,634",00:02:54
2/14/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,251,00:07:53
2/15/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,883",00:02:30
2/15/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,225,00:07:56
2/16/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,775",00:02:24
2/16/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,221,00:06:18
2/17/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,974",00:02:26
2/17/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,242,00:07:30
2/18/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"1,861",00:02:33
2/18/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,87,00:08:39
2/19/17,"Jan 1, 2017 - Apr 3, 2017",All Users,"2,331",00:02:29
2/19/17,"Jan 1, 2017 - Apr 3, 2017",Made a Purchase,118,00:08:39
