# ----------------------------------------
# 1 Master View
# Audience Overview
# 20170101-20180228
# ----------------------------------------

Day Index,Sessions
1/1/17,"1,528"
1/2/17,"1,822"
1/3/17,"2,894"
1/4/17,"2,755"
1/5/17,"2,488"
1/6/17,"2,458"
1/7/17,"1,750"
1/8/17,"1,811"
1/9/17,"2,630"
1/10/17,"2,536"
1/11/17,"2,467"
1/12/17,"2,418"
1/13/17,"2,237"
1/14/17,"1,653"
1/15/17,"1,733"
1/16/17,"2,099"
1/17/17,"2,795"
1/18/17,"2,536"
1/19/17,"2,322"
1/20/17,"2,296"
1/21/17,"1,832"
1/22/17,"1,873"
1/23/17,"2,535"
1/24/17,"3,900"
1/25/17,"3,245"
1/26/17,"2,450"
1/27/17,"2,201"
1/28/17,"1,787"
1/29/17,"1,971"
1/30/17,"2,698"
1/31/17,"2,461"
2/1/17,"2,684"
2/2/17,"2,598"
2/3/17,"2,410"
2/4/17,"1,697"
2/5/17,"1,661"
2/6/17,"2,565"
2/7/17,"2,726"
2/8/17,"2,798"
2/9/17,"2,903"
2/10/17,"2,404"
2/11/17,"1,905"
2/12/17,"1,933"
2/13/17,"2,489"
2/14/17,"2,634"
2/15/17,"2,883"
2/16/17,"2,775"
2/17/17,"2,974"
2/18/17,"1,861"
2/19/17,"2,331"
2/20/17,"2,530"
2/21/17,"2,812"
2/22/17,"2,705"
2/23/17,"2,583"
2/24/17,"2,295"
2/25/17,"1,758"
2/26/17,"1,774"
2/27/17,"2,598"
2/28/17,"2,552"
3/1/17,"2,625"
3/2/17,"2,482"
3/3/17,"2,349"
3/4/17,"1,892"
3/5/17,"1,987"
3/6/17,"2,633"
3/7/17,"2,793"
3/8/17,"2,617"
3/9/17,"2,432"
3/10/17,"2,411"
3/11/17,"1,808"
3/12/17,"1,935"
3/13/17,"2,778"
3/14/17,"2,588"
3/15/17,"2,732"
3/16/17,"2,587"
3/17/17,"2,276"
3/18/17,"1,724"
3/19/17,"1,903"
3/20/17,"2,650"
3/21/17,"2,845"
3/22/17,"2,762"
3/23/17,"3,059"
3/24/17,"2,541"
3/25/17,"1,813"
3/26/17,"1,911"
3/27/17,"2,766"
3/28/17,"2,801"
3/29/17,"2,735"
3/30/17,"2,903"
3/31/17,"2,451"
4/1/17,"2,278"
4/2/17,"2,005"
4/3/17,"2,592"
4/4/17,"3,206"
4/5/17,"2,863"
4/6/17,"2,885"
4/7/17,"2,510"
4/8/17,"1,962"
4/9/17,"1,911"
4/10/17,"2,859"
4/11/17,"2,707"
4/12/17,"2,560"
4/13/17,"2,519"
4/14/17,"2,020"
4/15/17,"1,599"
4/16/17,"1,632"
4/17/17,"2,533"
4/18/17,"2,615"
4/19/17,"2,578"
4/20/17,"2,554"
4/21/17,"2,449"
4/22/17,"1,729"
4/23/17,"1,661"
4/24/17,"2,466"
4/25/17,"2,547"
