duration_seconds,duration_minutes,duration_hours,emp.var.rate,nr.employed,euribor3m,contact,loan,subscribed,apr,aug,dec,jul,jun,mar,may,nov,oct,sep
1575,26.25,0.4375,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
1042,17.366666666666667,0.28944444444444445,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
1467,24.45,0.4075,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
579,9.65,0.16083333333333333,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
461,7.683333333333334,0.12805555555555556,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
673,11.216666666666667,0.18694444444444444,1.1,5191.0,4.857,1,1,True,0,0,0,0,0,0,1,0,0,0
935,15.583333333333336,0.25972222222222224,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
1201,20.016666666666666,0.3336111111111111,1.1,5191.0,4.857,1,1,True,0,0,0,0,0,0,1,0,0,0
1030,17.166666666666668,0.28611111111111115,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
1623,27.05,0.4508333333333334,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
1677,27.95,0.4658333333333333,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
918,15.3,0.255,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
1297,21.61666666666667,0.3602777777777778,1.1,5191.0,4.857,1,1,True,0,0,0,0,0,0,1,0,0,0
1597,26.61666666666667,0.4436111111111111,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
992,16.533333333333335,0.2755555555555556,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
732,12.2,0.2033333333333333,1.1,5191.0,4.856,1,1,True,0,0,0,0,0,0,1,0,0,0
1138,18.966666666666665,0.31611111111111106,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
591,9.85,0.16416666666666666,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
786,13.1,0.21833333333333327,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
1574,26.23333333333333,0.43722222222222223,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
1689,28.15,0.4691666666666666,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
813,13.55,0.22583333333333336,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
541,9.016666666666667,0.1502777777777778,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
1119,18.65,0.3108333333333333,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
1120,18.666666666666668,0.3111111111111111,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
513,8.55,0.14250000000000002,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
756,12.6,0.21,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
2087,34.78333333333333,0.5797222222222221,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
1178,19.633333333333333,0.3272222222222222,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
1120,18.666666666666668,0.3111111111111111,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
985,16.416666666666668,0.27361111111111114,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
617,10.283333333333333,0.1713888888888889,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
483,8.05,0.13416666666666668,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
772,12.866666666666667,0.21444444444444447,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
929,15.483333333333333,0.25805555555555554,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
710,11.833333333333336,0.19722222222222224,1.1,5191.0,4.855,1,1,True,0,0,0,0,0,0,1,0,0,0
1132,18.866666666666667,0.3144444444444445,1.1,5191.0,4.855,1,1,True,0,0,0,0,0,0,1,0,0,0
653,10.883333333333333,0.18138888888888888,1.1,5191.0,4.855,1,1,True,0,0,0,0,0,0,1,0,0,0
654,10.9,0.18166666666666667,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
1692,28.2,0.47,1.1,5191.0,4.855,1,1,True,0,0,0,0,0,0,1,0,0,0
2016,33.6,0.56,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
665,11.083333333333336,0.18472222222222226,1.1,5191.0,4.855,1,0,True,0,0,0,0,0,0,1,0,0,0
460,7.666666666666668,0.1277777777777778,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
757,12.616666666666667,0.21027777777777776,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
744,12.4,0.20666666666666667,1.1,5191.0,4.857,1,0,True,0,0,0,0,0,0,1,0,0,0
1111,18.516666666666666,0.3086111111111111,1.1,5191.0,4.857,1,1,True,0,0,0,0,0,0,1,0,0,0
504,8.4,0.14,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
1346,22.43333333333333,0.3738888888888889,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
568,9.466666666666667,0.15777777777777774,1.1,5191.0,4.856,1,1,True,0,0,0,0,0,0,1,0,0,0
1000,16.666666666666668,0.2777777777777778,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
618,10.3,0.1716666666666667,1.1,5191.0,4.856,1,1,True,0,0,0,0,0,0,1,0,0,0
2231,37.18333333333333,0.6197222222222222,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
395,6.583333333333332,0.10972222222222222,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
1015,16.916666666666668,0.28194444444444444,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
683,11.383333333333333,0.1897222222222222,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
470,7.833333333333332,0.13055555555555556,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
1001,16.683333333333334,0.2780555555555556,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
845,14.083333333333336,0.23472222222222225,1.1,5191.0,4.856,1,1,True,0,0,0,0,0,0,1,0,0,0
753,12.55,0.20916666666666667,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
945,15.75,0.2625,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
1721,28.68333333333333,0.4780555555555556,1.1,5191.0,4.856,1,0,True,0,0,0,0,0,0,1,0,0,0
942,15.7,0.26166666666666666,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
476,7.933333333333334,0.1322222222222222,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
832,13.866666666666667,0.2311111111111112,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
1328,22.13333333333333,0.3688888888888889,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
1125,18.75,0.3125,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
1321,22.016666666666666,0.3669444444444444,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
858,14.3,0.2383333333333333,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
629,10.483333333333333,0.1747222222222222,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
1028,17.133333333333333,0.2855555555555556,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
927,15.45,0.2575,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
1423,23.716666666666665,0.3952777777777777,1.1,5191.0,4.859,1,0,True,0,0,0,0,0,0,1,0,0,0
646,10.766666666666667,0.17944444444444446,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
746,12.433333333333335,0.20722222222222225,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
1074,17.9,0.2983333333333333,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
695,11.583333333333336,0.1930555555555556,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
1257,20.95,0.3491666666666667,1.1,5191.0,4.86,1,1,True,0,0,0,0,0,0,1,0,0,0
651,10.85,0.18083333333333326,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
734,12.233333333333333,0.20388888888888887,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
920,15.333333333333336,0.2555555555555556,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
500,8.333333333333334,0.1388888888888889,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
911,15.183333333333335,0.25305555555555553,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
920,15.333333333333336,0.2555555555555556,1.1,5191.0,4.86,1,0,True,0,0,0,0,0,0,1,0,0,0
