username,date,year,month,day,hour,minute,second,text,text_clean
ByelCitando,2018-09-09 17:11:34-07:00,2018,9,9,17,11,34,"RT @MomentsBrasil: #Eleições2018 

Tudo sobre o debate entre os presidenciáveis de hoje 🗳️ 

📺Transmissão em vídeo ao vivo no Twitter
⚡️Twe…",@momentsbrasil : eleições2018 sobrar o debater entrar o presidenciáveis 🗳 ️ 📺 transmissão vídeo o o viver o twitter ⚡ ️twe …
ViniciusNikolod,2018-09-09 17:11:35-07:00,2018,9,9,17,11,35,"RT @anyel: @pdevechi sem daciolo, sem debate.","@anyel : @pdevechi daciolo , debater ."
ViniciusNikolod,2018-09-09 17:11:37-07:00,2018,9,9,17,11,37,RT @dntav_ian: @pdevechi Arrisca ser o debate mais produtivo do primeiro turno,@dntav_ian : @pdevechi arriscar o debater produtivo turno
vermelho05,2018-09-09 17:11:40-07:00,2018,9,9,17,11,40,@bchartsnet Querem ver ele em #1 ? divulgação é essencial pocs. Ciro 12 presidente. Hoje tem debate na TV gazeta as… https://t.co/7KdgLYcykI,@bchartsnet querer 1 ? divulgação essencial pocs . ciro 12 presidente . debater o tv gazeta o … https://t.co/7kdglycyki
varelaandre,2018-09-09 17:11:43-07:00,2018,9,9,17,11,43,"RT @Ricamconsult: Hoje à noite, teremos o debate presidencial mais esvaziado da História. Lula na prisão, Bolsonaro no hospital, Daciolo de…","@ricamconsult : , o debater presidencial esvaziar história . lula o prisão , bolsonaro o hospital , daciolo …"
CortezFilipe,2018-09-09 17:11:44-07:00,2018,9,9,17,11,44,"RT @joaoamoedonovo: Mais um debate que estamos de fora,apesar do apoio nas redes sociais e da petição com quase 700 mil assinaturas.
Dia 09…","@joaoamoedonovo : debater , apesar apoiar o rede social e petição quase 700 assinatura . 09 …"
seeland08,2018-09-09 17:11:45-07:00,2018,9,9,17,11,45,RT @JornalDaGazeta: Acompanhe os bastidores do debate #GazetaEstadaoJP  https://t.co/nMRhTHlQZo,@jornaldagazeta : acompanhar o bastidor debater gazetaestadaojp https://t.co/nmrhthlqzo
jeannuness,2018-09-09 17:11:47-07:00,2018,9,9,17,11,47,"RT @Ricamconsult: Hoje à noite, teremos o debate presidencial mais esvaziado da História. Lula na prisão, Bolsonaro no hospital, Daciolo de…","@ricamconsult : , o debater presidencial esvaziar história . lula o prisão , bolsonaro o hospital , daciolo …"
PasiniK,2018-09-09 17:11:47-07:00,2018,9,9,17,11,47,"Se avexe não, que debate com #Ciro12 é muito melhor! Logo mais na TV Gazeta 18 horas! Ao vivo: https://t.co/SoK35zlX0R #GazetaEstadaoJP","avexe , debater ciro12 melhor ! o tv gazeta 18 horar ! o o viver : https://t.co/sok35zlx0r gazetaestadaojp"
ThaisCiro12,2018-09-09 17:11:48-07:00,2018,9,9,17,11,48,Hoje tem debate com esse cérebro!! #CiroPresidente12 #CIRO12 #GazetaEstadaoJP https://t.co/t1AfvrdbCA,debater cérebro ! ! ciropresidente12 ciro12 gazetaestadaojp https://t.co/t1afvrdbca
mubrasileiro,2018-09-09 17:11:50-07:00,2018,9,9,17,11,50,"RT @TwitterGov: Não perca o debate entre os candidatos à Presidência do Brasil, ao vivo, no Twitter. 🇧🇷

📌 Hoje! 9 de setembro, 2018
🕕 18 h…","@twittergov : perder o debater entrar o candidato presidência brasil , o o viver , o twitter . 🇧 🇷 📌 ! 9 setembro , 2018 🕕 18 h …"
RafaelFR15,2018-09-09 17:11:52-07:00,2018,9,9,17,11,52,#GazetaEstadaoJP kd o Amoedo no debate??? Não são a favor da mudança pelo jeito né. Chama lo não infringe nenhuma l… https://t.co/hyFS1z1EjQ,gazetaestadaojp kd o amoedar o debater ? ? ? o mudança pelar jeito né . chamar o infringir nenhum l … https://t.co/hyfs1z1ejq
fabiolamazzulli,2018-09-09 17:11:54-07:00,2018,9,9,17,11,54,"Por que não chamam o @joaoamoedonovo ??? Garanto que ele deixaria o debate interessante!!
#VemComJoão30… https://t.co/m3Ob27LzQv",chamar o @joaoamoedonovo ? ? ? garantir deixar o debater interessante ! ! vemcomjoão30 … https://t.co/m3ob27lzqv
gpisanimedina,2018-09-09 17:11:55-07:00,2018,9,9,17,11,55,RT @JenioQuadros: Lembrando que já já 18h tem debate na Gazeta,@jenioquadros : lembrar 18h debater o gazeta
robertopontes1,2018-09-09 17:11:56-07:00,2018,9,9,17,11,56,"RT @SchuldinerSieg: Procede a informação de que o Mourão vai substituir o Bolsonaro no debate de hoje e nos posteriores?

Caso sim, começo…","@schuldinersieg : proceder o informação o mourão substituir o bolsonaro o debater e o posterior ? casar , comedir …"
efolchini,2018-09-09 17:11:58-07:00,2018,9,9,17,11,58,"RT @Ricamconsult: Hoje à noite, teremos o debate presidencial mais esvaziado da História. Lula na prisão, Bolsonaro no hospital, Daciolo de…","@ricamconsult : , o debater presidencial esvaziar história . lula o prisão , bolsonaro o hospital , daciolo …"
Ciro2018,2018-09-09 17:11:58-07:00,2018,9,9,17,11,58,RT @mhirase: Hoje tem #Ciro12 no debate da #GazetaEstadaoJP https://t.co/EoDDOTaNhs,@mhirase : ciro12 o debater gazetaestadaojp https://t.co/eoddotanhs
Gabriel55Victor,2018-09-09 17:11:59-07:00,2018,9,9,17,11,59,@JenioQuadros Vai ter live no YouTube do debate?,@jenioquadros live o youtube debater ?
AnaStiro1,2018-09-09 17:12:02-07:00,2018,9,9,17,12,2,"Daqui a pouco tem debate!!!
Bora comparar as propostas galera!
#GazetaEstadaoJP 
#Ciro12 
#CiroPresidente12 
#CiroNo2Turno",d o debater ! ! ! bora comparar o proposto galera ! gazetaestadaojp ciro12 ciropresidente12 cirono2turno
ArindaOliver,2018-09-09 17:12:03-07:00,2018,9,9,17,12,3,#ciro12 Vai dar show no debate #GazetaEstadaoJP,ciro12 show o debater gazetaestadaojp
XtoJr,2018-09-09 17:12:04-07:00,2018,9,9,17,12,4,"RT @MomentsBrasil: #Eleições2018 

Tudo sobre o debate entre os presidenciáveis de hoje 🗳️ 

📺Transmissão em vídeo ao vivo no Twitter
⚡️Twe…",@momentsbrasil : eleições2018 sobrar o debater entrar o presidenciáveis 🗳 ️ 📺 transmissão vídeo o o viver o twitter ⚡ ️twe …
FloopZen,2018-09-09 17:12:04-07:00,2018,9,9,17,12,4,"RT @TwitterGov: Não perca o debate entre os candidatos à Presidência do Brasil, ao vivo, no Twitter. 🇧🇷

📌 Hoje! 9 de setembro, 2018
🕕 18 h…","@twittergov : perder o debater entrar o candidato presidência brasil , o o viver , o twitter . 🇧 🇷 📌 ! 9 setembro , 2018 🕕 18 h …"
Ferreira67Paulo,2018-09-09 17:12:05-07:00,2018,9,9,17,12,5,#Ciro12 debate na gazeta é Cirao da Massa,ciro12 debater o gazeta cirao massa
moverpb,2018-09-09 17:12:05-07:00,2018,9,9,17,12,5,"Daqui a pouco tem Ciro no debate da TV Gazeta!! Para conferir, clique aqui https://t.co/mcN1gVdc4O …. Assista e div… https://t.co/81YLYuw219","d o ciro o debater tv gazeta ! ! parir conferir , clicar https://t.co/mcn1gvdc4o … . assistir e div … https://t.co/81ylyuw219"
anfraso,2018-09-09 17:12:07-07:00,2018,9,9,17,12,7,RT @AndradeBruno2: @JornalDaGazeta @DacioNitrini @JovemPanNews O Debate está chegando e o candidato @joaoamoedonovo ainda não foi convidado…,@andradebruno2 : @jornaldagazeta @dacionitrini @jovempannews o debater chegar e o candidatar @joaoamoedonovo convidar …
alonatalia,2018-09-09 17:12:08-07:00,2018,9,9,17,12,8,é muito ruim debater eu mesma não tenho mais saúde para o debate,ruim debater saudar parir o debater
MateusKair,2018-09-09 17:12:09-07:00,2018,9,9,17,12,9,"RT @Marcio_F_Araujo: #GazetaEstadaoJP vai ter debate presidencial e vc lembra q não convidaram o ""Novo"" de novo. @joaoamoedonovo #joaonosde…","@marcio_f_araujo : gazetaestadaojp debater presidencial e vc lembrar q convidar o "" "" . @joaoamoedonovo joaonosde …"
soulcarioca,2018-09-09 17:12:10-07:00,2018,9,9,17,12,10,Falta pouco pro debate na Gazeta! Será hoje às 18h! Vamos de #Ciro12,falto pro debater o gazeta ! s 18h ! ciro12
moveanahi,2018-09-09 17:12:12-07:00,2018,9,9,17,12,12,Daqui a pouco tem debate #GazetaEstadaoJP,d o debater gazetaestadaojp
NeoTupi,2018-09-09 17:12:14-07:00,2018,9,9,17,12,14,"RT @GuilhermeBoulos: Aquecendo pro debate: daqui a pouco, às 16h, começa o tuitaço com a tag #BoulosNaGazeta! Participe! https://t.co/LFObK…","@guilhermeboulos : aquecer pro debater : d o , s 16h , comedir o tuitaço o tag boulosnagazeta ! participar ! https://t.co/lfobk …"
luadelaluhx,2018-09-09 17:12:19-07:00,2018,9,9,17,12,19,"RT @TwitterGov: Não perca o debate entre os candidatos à Presidência do Brasil, ao vivo, no Twitter. 🇧🇷

📌 Hoje! 9 de setembro, 2018
🕕 18 h…","@twittergov : perder o debater entrar o candidato presidência brasil , o o viver , o twitter . 🇧 🇷 📌 ! 9 setembro , 2018 🕕 18 h …"
