cep_origem;latitude_origem;longitude_origem;cep_destino;latitude_destino;longitude_destino
02854-000;-23.4584724;-46.6974573;05661-000;-23.6085333;-46.7297178
04563-000;-23.6107794;-46.68577620000001;05410-000;-23.557603;-46.67698739999999
08265-000;-23.5723919;-46.45232470000001;02976-000;-23.4810355;-46.71504669999999
04195-000;-23.6569719;-46.61322879999999;03426-000;-23.5522274;-46.5370247
02235-000;-23.479388;-46.58188970000001;05036-000;-23.5163686;-46.6905783
03281-000;-23.5819618;-46.5522873;05801-000;-23.647564300000006;-46.7339479
02119-000;-23.5175423;-46.58912479999999;04153-000;-23.6262893;-46.62476029999999
04119-000;-23.5929439;-46.6351992;02233-000;-23.4772102;-46.5650979
02072-000;-23.4999826;-46.6110152;01451-000;-23.5842928;-46.68200299999999
04805-000;-23.7153858;-46.7025329;02860-000;-23.4545031;-46.6950561
03694-000;-23.5398461;-46.47656629999999;04719-000;-23.6369922;-46.6992961
04308-000;-23.635409;-46.6413472;01156-000;-23.5281029;-46.6662922
05726-000;-23.6195342;-46.73485609999999;01132-000;-23.5230613;-46.6489232
05379-000;-23.5667101;-46.75392249999999;02804-000;-23.4815593;-46.6997206
03423-000;-23.552563600000006;-46.5430346;02615-000;-23.4727975;-46.65288779999999
03905-000;-23.5789139;-46.5144605;03729-000;-23.5028575;-46.50613320000001
03236-000;-23.5940124;-46.5553873;04939-000;-23.6919315;-46.7708252
01543-000;-23.5752538;-46.6230673;05415-000;-23.5650402;-46.6809885
04142-000;-23.610857;-46.63762360000001;02335-000;-23.4816915;-46.6177433
04753-000;-23.651162;-46.7090565;05008-000;-23.5385451;-46.6690123
02330-000;-23.4815207;-46.62194849999999;04144-000;-23.6183866;-46.6354633
04142-000;-23.610857;-46.63762360000001;03444-000;-23.5439948;-46.5349211
08120-000;-23.5002972;-46.3936691;04313-000;-23.6395034;-46.6404461
01022-000;-23.5448448;-46.6334325;04207-000;-23.5903319;-46.60266770000001
02079-000;-23.4993877;-46.6034914;02925-000;-23.5008851;-46.69974939999999
03978-000;-23.616174800000003;-46.502007;08260-000;-23.5761294;-46.4444948
02939-000;-23.473405;-46.7321349;05009-000;-23.5366504;-46.6746642
03268-000;-23.5978343;-46.52858060000001;08340-000;-23.5986079;-46.4644024
02234-000;-23.4799831;-46.5698414;05595-000;-23.5810924;-46.7424666
04646-000;-23.6433516;-46.67480670000001;01408-000;-23.5661707;-46.6601168
01021-000;-23.5449428;-46.6323695;05625-000;-23.6003771;-46.73332629999999
02442-000;-23.4730293;-46.64191640000001;04671-000;-23.653649100000006;-46.68456610000001
04904-000;-23.6702544;-46.7355044;04651-000;-23.6580061;-46.67113759999999
05593-000;-23.5795587;-46.7383985;04685-000;-23.6603756;-46.695485
02357-000;-23.4421337;-46.6102146;05736-000;-23.6424848;-46.74137279999999
03905-000;-23.5789139;-46.5144605;03406-000;-23.5416178;-46.5459334
02521-000;-23.5025043;-46.66329320000001;02531-000;-23.5001664;-46.65698620000001
04661-000;-23.657746600000007;-46.6789846;05727-000;-23.6195342;-46.73485609999999
